Ime in priimek
Petr, Ciril
Klavžar, Sandi
Milutinović, Uroš
Meglič, Jure
Pagon, Milan
Kern, Tomaž
Baggia, Alenka
Leskovar, Robert
Kljajić, Miroljub
Gorenak, Irena
Ovsenik, Marija
Železnik, Danica
Kyngäs, Helvi
Backman, Kaisa
Mičetić-Turk, Dušanka
Fabijan, Drago
Ovin, Rasto
Križanič, France
Arko, Matija
Miščević, Nenad
Šuster, Danilo
Milfelner, Borut
Snoj, Boris
Žabkar, Vesna
Jelenc, Lara
Pučko, Danijel
Mencer, Ivan
Šenk, Bernarda
Mrkaić, Mićo
Avsec, Andreja
Šuman, Nataša
Rebolj, Danijel
Uršič, Duško
Klobučar, Rok
Šafarič, Riko
Brezočnik, Miran
Polančič, Gregor
Vajde Horvat, Romana
Rozman, Ivan
Tramšek, Marko
Goršek, Andreja
Vasić-Rački, Đurđa
Šlibar, Primož
Milanovič, Miro
Dolinar, Drago
Habjanič, Anton
Trlep, Mladen
Pihler, Jože
Burger, Anže
Jaklič, Andreja
Pavlič Damijan, Jože
Makovšek, Dejan
Logožar, Klavdij
Tominc, Polona
Južnik, Laura
Malačič, Janez
Masten, Igor
Rajkovič, Tanja
Prašnikar, Janez
Lizal, Lubomir
Nastav, Bojan
Lavrač, Ivo
Bojnec, Štefan
Nekrep, Mojca
Bastič, Majda
Hustič, Igor
Mulej, Matjaž
Potočan, Vojko
Bradač Hojnik, Barbara
Rebernik, Miroslav
Virtič, Peter
Štumberger, Bojan
Zagradišnik, Ivan
Berce, Vojko
Potočnik, Uroš
Avčin, Tadej
Tkalčič, Marjan
Florjančič, Jože
Skale, Saša
Doleček, Valter
Slemnik, Mojca
Palfy, Miroslav
Kokol, Peter
Zorman, Milan
Rajh, Matej
Glodež, Srečko
Flašker, Jože
Gotlih, Karl
Verlič, Mateja
Harej Pulko, Katja
Ropotar, Marcel
Kravanja, Zdravko
Novak-Pintarič, Zorka
Frankovič, Vida
Krajnc, Peter
Podgornik, Aleš
Poberžnik, Mojca
Lobnik, Aleksandra
Roš, Milenko
Močilnik, Vinko
Gubeljak, Nenad
Pavlič, Luka
Heričko, Marjan
Fras, Matjaž
Čučej, Žarko
Mohorko, Jože
Gaber, Matjaž
Toroš, Zvonko
VORŠIČ, Jože
Pivec, Polona
Stramljič Breznik, Irena
Plenković, Mario
Jezernik, Niko
Kramberger, Janez
Kostanjevec, Tomaž
Polajnar, Andrej
Balič, Jože
Knez, Marko
Aionicesei, Elena
Knez, Željko
Škerget, Mojca
Pulko, Irena
Lukman, Rebeka
Glavič, Peter
Knez-Rield, Jožica
Urbancl, Danijela
Krope, Jurij
Goričanec, Darko
Veronovski, Nika
Sfiligoj-Smole, Majda
Kreže, Tatjana
Greiner, Sašo
Brest, Janez
Žumer, Viljem
Hölbl, Marko
Welzer-Družovec, Tatjana
Rijmen, Vincent
Pesek, Igor
Žerovnik, Janez
Zadravec, Matej
Hriberšek, Matjaž
Škerget, Leopold
Križmarić, Miljenko
GRMEC, ŠTEFEK
Vatai, Tünde
Alessi, Paolo
Šnuderl, Katja
Brodnjak-Vončina, Darinka
Mocak, Jan
Bregar, Andrej
Jurič, Matjaž B.
Györkös, József
Mezgec, Zdenko
Svečko, Rajko
Kotnik, Bojan
Fekonja, Milojka
Bavec, Martina
Bavec, Franc
Krčevski Škvarč, Nevenka
Kamenik, Mirt
Drinovec, Jože
Klemenc Ketiš, Zalika
Kersnik, Janko
Popovič, Aleš
Jaklič, Jurij
Simões Coelho, Pedro
Jakovac, Marko
Cabello, Sergio
Thorey, Paul
Maja, Habulin
Simandi, Bela
