ID|Naslov|Avtor|Mentor|Ključne besede|Leto|Jezik|Organizacija|Kraj|Dolžina uvoda|Dolžina glavnega dela|Ogledi|Prenosi
15169|Vpliv okoljskih dejavnikov na biotsko raznovrstnost pokljuških barjanskih smrekovij|Kutnar, Lado|Gaberščik, Alenka|smrekovo barje, vegetacija, fitoindikacija, rastišče, biotska pestrost, tla, hidrologija, prehranske razmere, rast smreke, dendrokronologija, DCA ordinacija, Sphagno-Piceetum, Picea abies, Pokljuka|2000|Slovenski jezik|BF - Biotehniška fakulteta|Ljubljana|19|245|2635|447
1585|"Analiza strukture in povezanosti izbranih potencialnih dimenzij modela uspešnosti športnikov s pomočjo ekspertnega sistema ""Sport manager"""|Ulaga, Maja|Jošt, Bojan|smučarski skoki, računalništvo, šport, ekspertni sistem, model, uspešnost, športniki, fantje, mladi, osnovna statistika, analiza variance, Pearsonov koeficient, CD-ROM, DEXi, strojno učenje, Perl, program SMMS|2001|Slovenski jezik|FŠ - Fakulteta za šport|Ljubljana|0|0|3712|590
123366|Problematika izumiranja in varstva rastlinskih vrst v Sloveniji|Skoberne, Peter|Wraber, Tone|izumrle rastlinske vrste, ogrožene rastlinske vrste, varstvo narave, Slovenija|2001|Slovenski jezik|BF - Biotehniška fakulteta|Ljubljana|13|192|1431|123
135283|Metode določanja erozijsko ogroženih območij|Horvat, Aleš|Anko, Boštjan|erozija, naravna nesreča, erozijsko ogroženo območje, opozorilni načrt, načrt erozijsko ogroženih območij, Slovenija|2001|Slovenski jezik|BF - Biotehniška fakulteta|Ljubljana|13|194|1906|128
156473|Uporaba predznanja pri modeliranju dinamičnih sistemov z avtomatskim odkrivanjem enačb|Todorovski, Ljupčo|Bratko, Ivan|dynamic systems, modeling dynamic systems, equation discovery, thesis|2002|Angleški jezik|FRI - Fakulteta za računalništvo in informatiko|Ljubljana|0|0|564|67
3642|Comparative analysis of inactivated wood surfaces|Šernek, Milan||neaktivnost lesne površine, XPS, omočitev, adhezija, lomna mehanika, ekstraktivne snovi, wood surface inactivation, XPS, wettability, adhesion, fracture mechanics, extractives|2002|Angleški jezik|BF - Biotehniška fakulteta|Blacksburg, Virginia|14|179|3445|450
54863|Sistematika in horologija skupine navadne pasje trave (Dactylis glomerata agg.) v Sloveniji|Jogan, Jernej|Wraber, Tone|pasja trava, Dactylis glomerata, sistematika, horologija, Slovenija, Poaceae, trave|2002|Slovenski jezik|BF - Biotehniška fakulteta||18|149|2602|432
156478|Model za kvantitativno spremljanje postopka razvoja programske opreme v skladu z zahtevami četrte stopnje modela zrelostnih stopenj programske opreme|Rožanc, Igor|Mahnič, Viljan|programska oprema, kvantitativno spremljanje, proces razvoja, merski proces, merski informacijski model, disertacije|2003|Slovenski jezik|FRI - Fakulteta za računalništvo in informatiko|Ljubljana|24|315|561|181
156476|Robustni pristopi k vizualnemu učenju in razpoznavanju na osnovi podprostorov|Skočaj, Danijel|Leonardis, Aleš|visual learning, robust learning, robust recognition, weighted learning, missing pixels, incremental learning, subspace methods, principal component analysis, appearance-based modeling, view centred approach, computer vision, dissertations|2003|Angleški jezik|FRI - Fakulteta za računalništvo in informatiko|Ljubljana|22|188|638|103
156479|Usmerjanje ponavljajočih se poizvedb v vsebinskih omrežjih|Ciglarič, Mojca|Vidmar, Tone|vsebinsko omrežje, poizvedbe, omrežja, sistemi enak z enakim, porazdeljeno iskanje, topologija omrežja, usmerjanje, simulacijski modeli, validacija, verifikacija, disertacije|2003|Slovenski jezik|FRI - Fakulteta za računalništvo in informatiko|Ljubljana|0|0|532|126
15648|Real time panoramic depth imaging using standard cameras|Peer, Peter|Solina, Franc|computer vision, stereo vision, reconstruction, depth image, multiperspective panoramic image, mosaicing, motion parallax effect, standard camera, real time, depth sensor, dissertations|2003|Angleški jezik|FRI - Fakulteta za računalništvo in informatiko|Ljubljana|5|112|661|179
156475|Razvrščanje velike množice neenovito opisanih podatkov|Korenjak-Černe, Simona|Bratko, Ivan|podatki, neenovito opisani podatki, razvrščanje, problem razvrščanja, metode razvrščanja, programi, program Leaders, program BuildLdrsTree, disertacije|2003|Slovenski jezik|FRI - Fakulteta za računalništvo in informatiko|Ljubljana|0|0|586|65
32764|Sintezni postopek ocenjevanja hidromorfološkega stanja rečnih koridorjev, razvit z analizo stanja na reki Dragonji|Bizjak, Aleš|Mikoš, Matjaž|doktorske disertacije, erozija tal, Dragonja, ekohidrologija, hidromorfološko stanje, krajinska ekologija, rečni koridor, terenski poskus, transektni zajem podatkov, urejanje vodotokov|2003|Slovenski jezik|FGG - Fakulteta za gradbeništvo in geodezijo|Ljubljana|18|212|3840|848
37557|Etude des relations structure/fonction d'une bactériocine anti-Listeria, la mésentéricine Y105|Morisset, Dany||biologie moléculaire|2003|Francoski jezik|BF - Biotehniška fakulteta|[S. l.,|0|0|1512|227
5|Thrombin activatable fibrinolysis inhibitor (TAFI) in different hemorrhagic and thrombotic conditions|Antovic, Jovan P.|Blombäck, Margareta|hematologija|2003|Angleški jezik|MF - Medicinska fakulteta|Stockholm|0|0|1069|254
54759|Citološka analiza razvoja endosperma in koreninske čepice koruze (Zea Mays L.)|Kladnik, Aleš|Dermastia, Marina|slikovna citometrija, endoreduplikacija, endopoliploidnost, miniature-1, invertaza, saharoza sintaza, prostornina celic, 3-D model|2003|Slovenski jezik|BF - Biotehniška fakulteta||18|196|2366|358
156111|Odziv armiranobetonskih linijskih konstrukcij na požarno obtežbo|Bratina, Sebastjan|Saje, Franc|gradbeništvo, disertacije, armirani beton, gradbene konstrukcije, linijske konstrukcije, požarna obtežba, nosilnost, gradbena statika|2003|Slovenski jezik|FGG - Fakulteta za gradbeništvo in geodezijo|Ljubljana|12|159|966|155
1451|Nelinearna analiza kompozitnih nosilcev z upoštevanjem zdrsa med sloji|Čas, Bojan|Planinc, Igor|gradbeništvo, disertacije, konpozitni nosilci, zdrs med sloji, nelinearna analiza, Reissnerjev nosilec, numerična analiza|2004|Slovenski jezik|FGG - Fakulteta za gradbeništvo in geodezijo|Ljubljana|12|136|4179|934
156484|Usmerjevalni algoritmi v omrežjih s topologijo krožnih grafov|Dobravec, Tomaž|Robič, Borut|algoritmi, usmerjevalni algoritmi, omrežja s topologijo krožnih grafov, omrežja, usmerjanje podatkov, krožni grafi, računalništvo, disertacije|2004|Slovenski jezik|FRI - Fakulteta za računalništvo in informatiko|Ljubljana|7|143|741|101
156485|Odkrivanje podskupin z uporabo algoritmov za učenje pravil|Kavšek, Branko|Kononenko, Igor|strojno učenje, podatkovno rudarjenje, odkrivanje podskupin, učenje pravil, ROC analiza, evalvacijske mere, utežna relativna klasifikacijska točnost, računalništvo, disertacije|2004|Slovenski jezik|FRI - Fakulteta za računalništvo in informatiko|Ljubljana|12|132|677|136
38|Ocenjevanje izbranih socialno-ekonomskih in okoljskih posledic rabe lesne biomase|Krajnc, Nike|Winkler, Iztok|lesna biomasa, obnovljivi viri, energija, socialno-ekonomski vplivi, okoljski vplivi, tok lesne biomase, računalniška aplikacija, regije, zaposlovanje|2005|Slovenski jezik|BF - Biotehniška fakulteta|Ljubljana|14|185|3367|692
1461|Potresna ranljivost armiranobetonskih sten|Kante, Peter|Fischinger, Matej|gradbeništvo, disertacije, gradbena statika, potresna obtežba, armirani beton, gradbene konstrukcije, stene, nosilnost|2005|Slovenski jezik|FGG - Fakulteta za gradbeništvo in geodezijo|Ljubljana|20|243|4714|1258
15231|Tipi ektomikorize na bukvi (Fagus sylvatica L.) v naravnem in gospodarskem gozdu|Grebenc, Tine|Kraigher, Hojka||2005|Slovenski jezik|BF - Biotehniška fakulteta|Ljubljana|12|174|2137|386
1526|Spreminjanje tehničnih parametrov traktorja pri vlačenju lesa - kriterij pri izbiri delovnega sredstva|Marenče, Jurij|Košir, Boštjan|meritve, tehnični parametri, vlačenje lesa, traktorji, izbira traktorja|2005|Slovenski jezik|BF - Biotehniška fakulteta|Ljubljana|17|271|2029|384
15269|Zgradba gozda na krajinski ravni z vidika ohranjanja biotske pestrosti na primeru žoln (Picidae) na Solčavskem|Groznik, Katarina|Anko, Boštjan|biotska pestrost, krajinska raven, gozdna krajina, Picidae, Solčavsko|2005|Slovenski jezik|BF - Biotehniška fakulteta|Ljubljana|10|98|2186|424
16274|Vloga gozda v trajnostno-sonaravnem razvoju Zgornje Gorenjske|Ferreira, Andreja|Plut, Dušan||2005|Slovenski jezik|BF - Biotehniška fakulteta|Ljubljana|11|271|2313|364
24291|Machine learning based on attribute interactions|Jakulin, Aleks|Bratko, Ivan|podatkovno rudarjenje, atributi|2005|Angleški jezik|FRI - Fakulteta za računalništvo in informatiko|Sežana|12|240|5772|465
156492|Mreže proste metode na vzporednih računalnikih|Šterk, Marjan|Robič, Borut|numerične metode, parcialne diferencialne enačbe, vzporedni računalniki, mreže proste metode, disertacije|2005|Slovenski jezik|FRI - Fakulteta za računalništvo in informatiko|Ljubljana|20|151|604|61
156491|Vpliv testno vodenega razvoja na parametre agilnega razvojnega procesa|Pančur, Matjaž|Vidmar, Tone|agilne metodologije, testno voden razvoj, meritve, kvantitativni parametri, kvalitativni parametri, disertacije|2005|Slovenski jezik|FRI - Fakulteta za računalništvo in informatiko|Ljubljana|0|0|573|80
24527|Model procesa ponovne uporabe programskih komponent|Krmac, Evelin|Mohorič, Tomaž|programske komponente, modeli, ogrodja, knjižnica ponovno uporabnih komponent|2005|Slovenski jezik|FRI - Fakulteta za računalništvo in informatiko|Ljubljana|6|251|2376|338
