ID|Naslov|Avtor|Mentor|Ključne besede|Leto|Jezik|Organizacija|Kraj|Ogledi|Prenosi
28783|Proaktives Kostenmanagement : Konzeption und Realprofile|Kajüter, Peter||stroškovno računovodstvo, računovodstvo, stroški, terminologija, ekonomske teorije, predstava, projekti, konkurenčnost, podjetje, organiziranost, projektno vodenje, vodstveno računovodstvo, empirične raziskave, procesiranje, poslovni proces, spremembe, prestrukturiranje, struktura, osnove, karakterizacija, management, modeli, operativni plani, avtomobilska industrija, Nemčija, analiza stroškov, disertacije|2000|Nemški jezik|EPF - Ekonomsko-poslovna fakulteta|Wiesbaden|2329|143
28781|Die Haftung des Wirtschaftsprüfers als gesetzlicher Abschlussprüfer|Haberl, Ingrid||revizor, odgovornost, gospodarski svetovalci, kontrola, revizija, zaključni računi, zakonodaja, obračuni, Nemčija, Avstrija, Nemčija, finančno pravo, strokovno delo, računovodski delavci, svetovanje, poklicna odgovornost, poklicna uspešnost, strokovne službe, rezultati, družbe, poslovni rezultati|2000|Nemški jezik|EPF - Ekonomsko-poslovna fakulteta|Wien|1633|152
9101|Določanje položaja kožnih formacij pri taktilni komunikaciji v navideznih vmesnikih : doktorska disertacija|Kramberger, Iztok|Kačič, Zdravko|računalniški vid, procesiranje slike, barvno filtriranje, prostorsko filtriranje, barvni prostor, barva kože, uporabniški vmesnik, interakcija, taktilna komunikacija, navidezna resničnost, razširjena resničnost, sledenje roke, sledenje glave, prepoznavanje kretenj, uporabniško okolje, kožna formacija, bitna maska|2003|Slovenski jezik|FERI - Fakulteta za elektrotehniko, računalništvo in informatiko|Maribor|5297|575
52098|Kombinatorika posplošenih Hanojskih stolpov : doktorska disertacija|Petr, Ciril|Klavžar, Sandi|matematika, računalništvo, kombinatorika, Hanojski stolpi, algoritem, najkrajša pot, grafi Sierpińskega, 1-popolna koda|2004|Slovenski jezik|PEF - Pedagoška fakulteta||2343|90
35044|Alokacija človeških virov v procesu razvoja proizvoda glede na poslovno strategijo : doktorska disertacija|Meglič, Jure|Pagon, Milan|polivalentnost, alokacija, kompetence|2006|Slovenski jezik|FOV - Fakulteta za organizacijske vede|Kranj|3010|64
29487|Vpliv povratne informacije skupine na učenje v procesu odločanja, podprtem s simulacijskim modelom : doktorska disertacija|Kljajić Borštnar, Mirjana|Rajkovič, Vladislav|skupinsko odločanje, simulacijski modeli, učenje|2006|Slovenski jezik|FOV - Fakulteta za organizacijske vede|Kranj|2036|81
29467|Jezik za definicijo problema razporejanja virov : doktorska disertacija|Baggia, Alenka|Leskovar, Robert|razporejanje, jezik za opis, vir|2006|Slovenski jezik|FOV - Fakulteta za organizacijske vede|Kranj|3440|64
29455|Vpliv policijske subkulture na komuniciranje in sodelovanje z zunanjimi organizacijami : doktorska disertacija|Gorenak, Irena|Pagon, Milan|organizacijska subkultura, cinizem, komuniciranje|2006|Slovenski jezik|FOV - Fakulteta za organizacijske vede|Kranj|3785|95
29454|Vloga delovnega prava pri razvoju kadrovske funkcije skozi prizmo reševanja kolektivnih delovnih sporov : doktorska disertacija|Kukec, Bojan|Florjančič, Jože|kolektivni delovni spori, individualni delovni spori, mediacija|2006|Slovenski jezik|FOV - Fakulteta za organizacijske vede|Kranj|3690|59
92930|Sprachspiele als Motivationsfaktor im DaF-Unterricht mit jugendlichen und jungen Erwachsenen : Einsatzmöglichkeiten von Sprachelementspielen im Wortschatzerwerb|Kacjan, Brigita|Krumm, Hans-Jürgen|German, foreign languages, didactics, vocabulary, language games, motivation, cognition, learning, adolescents, dissertations|2007|Nemški jezik|FF - Filozofska fakulteta|[S. l.|0|6
30774|Self-care of the home-dwelling elderly people living in Slovenia : dissertation|Železnik, Danica|Kyngäs, Helvi|aged, functional ability, home-dwelling elderly people, life satisfaction, self-care, self-esteem, self-orientation|2007|Angleški jezik|FZV - Fakulteta za zdravstvene vede|Oulu|5173|217
29540|Model etičnih stališč na ravneh strateškega in operativnega managementa v slovenski policiji : doktorska disertacija|Mekinc, Janez|Ovsenik, Marija|vrednote, etika, etična stališča|2007|Slovenski jezik|FOV - Fakulteta za organizacijske vede|Kranj|2208|73
29527|Prilagodljivi algoritem za kontrolo zalog z mehko logiko v negotovem okolju : doktorska disertacija|Kofjač, Davorin|Kljajić, Miroljub|kontrola zalog, simulacija, optimizacija, mehka logika, nevronske mreže, sistem za podporo odločanju, negotovo okolje|2007|Slovenski jezik|FOV - Fakulteta za organizacijske vede|Kranj|2521|57
25227|Investicije energetske družbe v pogojih odprtega trga električne energije : doktorska disertacija|Fabijan, Drago|Ovin, Rasto|energetika, investicije, družbe, trg, investicijsko odločanje, električna energija, elektrogospodarstvo, krize, potrebe, paradigme, Slovenija, svet, Evropska unija, projekti, investicijska politika, investicijski programi, razvojni projekti, oskrba, trajnostni razvoj, negotovost, tveganje, energetski sistemi, metode, modeli, zmogljivost|2007|Slovenski jezik|EPF - Ekonomsko-poslovna fakulteta|Krško|2338|199
10668|Abstraktni predmeti : za ontologijo izobilja|Arko, Matija|Miščević, Nenad|filozofija matematike, platonizem, nominalizem, abstraktni predmeti, matematične bitnosti, fikcijski liki|2007|Slovenski jezik|FF - Filozofska fakulteta|[Maribor|5714|308
49576|The future of logistics : scenarios for 2025|Gracht, Heiko A. von der||poslovna logistika|2008|Angleški jezik|FL - Fakulteta za logistiko|Wiesbaden|1808|54
49346|Model vpliva trženjskih virov na tržno in finančno uspešnost organizacije : doktorska disertacija|Milfelner, Borut|Snoj, Boris|podjetje, poslovanje podjetja, uspešnost poslovanja, trženje, konkurenčna prednost, image, inovacije, modeli, raziskave, razvoj|2008|Slovenski jezik|EPF - Ekonomsko-poslovna fakulteta|Ljubljana|2197|334
48295|Model informacijskega opismenjevanja v slovenskem visokošolskem sistemu : doktorska disertacija|Petermanec, Zdenka|Zabukovec, Vlasta|informacije, modeli, izobraževanje, učni proces|2008|Slovenski jezik|UKM - Univerzitetna knjižnica Maribor|Maribor|3298|410
23950|The impact of strategic management schools and strategic thinking on the performance of Croatian entrepreneurial practice : doctoral dissertation|Jelenc, Lara|Pučko, Danijel|Croatia, entrepreneurship, enterprises, management, manager, strategic management, business efficiency, knowledge|2008|Angleški jezik|EPF - Ekonomsko-poslovna fakulteta|Ljubljana|2948|138
23946|Kakovost trženjskih odnosov na področju trgovine na drobno : konceptualni model in empirična preverba|Vesel, Patrick|Žabkar, Vesna|trženje, marketing, razvojna strategija, evolucija, povezanost, strategija trženja, tržna analiza, tržna struktura, modeli, prodaja na drobno, trgovinsko podjetje, trgovske družbe, prodaja, pospeševanje prodaje, storitve, kvaliteta, odnosi z javnostjo, poslovno sodelovanje, uporaba računalnika, dobavitelji, kadri, potrošnik, uporabniki, odjemalec, zadovoljstvo, orodja, empirične raziskave, analiza, case study, primeri|2008|Slovenski jezik|EPF - Ekonomsko-poslovna fakulteta|Ljubljana|2668|137
23387|Oblikovanje in empirično preverjanje modela zaznane vrednosti izdelka : doktorska disertacija|Pisnik, Aleksandra|Snoj, Boris|izdelki, oblikovanje, empirične raziskave, vrednost, vrednotenje, zaznavanje, odjemalec, potrošnik, kupci, marketing, zadovoljstvo, poslovanje, trženje, strategija trženja, komercialno poslovanje, politika izdelka, dejavnost, tržne raziskave, modeli, tržna analiza, tržno planiranje, strategija, poslovno sodelovanje, faktorska analiza, multipla linearna regresija, korelacije, integracija, poslovno okolje, spremenljivke, regresijske analize, cilj, tržni sistemi, aplikacija, trg|2008|Slovenski jezik|EPF - Ekonomsko-poslovna fakulteta|Maribor|3906|456
15408|RAZISKAVA KREDITNEGA TVEGANJA S POMOČJO NEVRONSKIH MREŽ|Šenk, Bernarda|Mrkaić, Mićo|kreditno tveganje, nevronske mreže, boniteta, kazalniki, osebnost, vestnost, faktorska analiza, zamude.|2008|Slovenski jezik|FOV - Fakulteta za organizacijske vede|Maribor|3680|308
11452|Pomen neinvazivnega 48-urnega merjenja krvnega tlaka pri hemodializnih bolnikih : doktorska disertacija|Ekart, Robert|Hojs, Radovan||2008|Slovenski jezik|MF - Medicinska fakulteta|[Maribor|5840|501
10661|Ojačitev in glajenje kalcijevih celičnih signalov s primerjavo prenosa signalov v tehniki : doktorska disertacija|Grubelnik, Vladimir|Marhl, Marko|fizika, tehnika, celična signalizacija, kalcijeve oscilacije, proteinske kaskade, glajenje signalov, ojačitev signalov, elektronski sistemi, operacijski ojačevalnik, disertacije|2008|Slovenski jezik|FNM - Fakulteta za naravoslovje in matematiko|Maribor|14814|1142
9744|Priprava in gradnja objektov v gradbenih podjetjih s poudarkom na konceptu reinženiringa : doktorska disertacija|Šuman, Nataša|Rebolj, Danijel|gradbeništvo, proces graditve objektov, reinženiring, organiziranost podjetij, inženirska komunikacija, informacijsko-komunikacijska tehnologija, mobilno računalništvo|2008|Slovenski jezik|FGPA - Fakulteta za gradbeništvo, prometno inženirstvo in arhitekturo|Maribor|6159|725
9574|Elementarni benzenoidni grafi in nad njimi definirani grafi : doktorska disertacija|Taranenko, Andrej|Vesel, Aleksander|matematika, teorija grafov, benzenoidni graf, reducibilno lice, resonančni graf, notranji dual, hiperkocka, Fibonaccijeva kocka, disertacije|2008|Slovenski jezik|FNM - Fakulteta za naravoslovje in matematiko|[S. l.|7056|573
