Naslov,Avtorji,Mentorji,Komentorji,Ključne besede,Leto,Jezik,Organizacija,Dolžina uvoda,Dolžina glavnega dela,Ogledi,Prenosi
Nelinearna analiza kompozitnih nosilcev z upoštevanjem zdrsa med sloji,"Čas, Bojan","Planinc, Igor",,gradbeništvo; disertacije; konpozitni nosilci; zdrs med sloji; nelinearna analiza; Reissnerjev nosilec; numerična analiza; composite beams; slip between layers; non-linear analysis; Reissner-beam; numerical analysis,2004,Slovenski jezik,FGG - Fakulteta za gradbeništvo in geodezijo,12,136,4130,927
Usmerjevalni algoritmi v omrežjih s topologijo krožnih grafov,"Dobravec, Tomaž","Robič, Borut",,algoritmi; usmerjevalni algoritmi; omrežja s topologijo krožnih grafov; omrežja; usmerjanje podatkov; krožni grafi; računalništvo; disertacije,2004,Slovenski jezik,FRI - Fakulteta za računalništvo in informatiko,7,143,693,97
Odkrivanje podskupin z uporabo algoritmov za učenje pravil,"Kavšek, Branko","Kononenko, Igor","Lavrač, Nada",strojno učenje; podatkovno rudarjenje; odkrivanje podskupin; učenje pravil; ROC analiza; evalvacijske mere; utežna relativna klasifikacijska točnost; računalništvo; disertacije; machine learning; data mining; subgroup discovery; rule learning; ROC analysis; evaluation measures; weighted relative accuracy,2004,Slovenski jezik,FRI - Fakulteta za računalništvo in informatiko,12,132,621,130
Model kvantitativnega merjenja operativnega tveganja v finančnem sektorju,"Brdar Turk, Aleksandra","Košak, Marko",,finance; finančne institucije; obvladovanje tveganj; tveganje; operativni management; meritve; modeli; finance; financial institutions; risk management; risk; operations management; measurements; models,2009,Slovenski jezik,EF - Ekonomska fakulteta,11,164,3977,709
National transfer accounts for Slovenia,"Sambt, Jože","Malačič, Janez",,Slovenija; družbeni računi; transfer kapitala; sredstva; življenjski ciklus; demografija; starost; razvite dežele; dežele v razvoju; mednarodne primerjave; Slovenia; national accounts; capital transfer; assets; life cycle; demography; age; developed countries; developing countries; international comparisons,2009,Angleški jezik,EF - Ekonomska fakulteta,7,170,3263,877
Lastnosti površinskih premazov v odvisnosti od njegovih interakcij s termično modificiranim lesom,"Pavlič, Matjaž","Petrič, Marko","Pohleven, Franc; Jirouš-Rajković, Vlatka",površinski premazi; modificiran les; termična modifikacija z oljem; eksterier; naravno staranje; surface coaotings; modified wood; oil heat treatment; exterier; natural weathering,2009,Slovenski jezik,BF - Biotehniška fakulteta,16,155,2166,439
Vpliv temperature stiskanja na kinetiko utrjevanja in dinamiko graditve trdnosti fenol-formaldehidnega lepilnega spoja,"Jošt, Matej","Šernek, Milan","Krajnc, Matjaž",fenol-formaldehidno lepilo; bukov furnir; utrjevanje; temperatura; graditev strižne trdnosti; DEA; DMA; DSC; phenol-formaldehyde adhesive; beech veneer; curing; temperature; shear strength development; DEA; DMA; DSC,2009,Slovenski jezik,BF - Biotehniška fakulteta,12,106,2510,563
Optimizacija metodologije obdelave in analiza natančnosti letalskega laserskega skeniranja pri zajemu geodetskih podatkov za lokalno prostorsko planiranje,"Triglav Čekada, Mihaela","Kosmatin Fras, Mojca","Crosilla, Fabio",geodezija; disertacije; daljinsko zaznavanje; lidar; lasersko skeniranje; analiza natan cnosti; lokalno prostorsko planiranje; geodesy; doctoral thesis; remote sensing; lidar; laser scanning; accuracy analysis; local spatial planning,2009,Angleški jezik,FGG - Fakulteta za gradbeništvo in geodezijo,22,202,4043,768
Uporaba ultrazvočne metode za analizo vezanja in strjevanja betona,"Trtnik, Gregor","Turk, Goran","Bokan-Bosiljkov, Violeta",gradbeništvo; disertacije; cementni materiali; hidratacija; formiranje strukture; ultrazvocne meritve; vezenje; tlačna trdnost; adiabatne krivulje; umetne nevronske mreže; cement based materials; hydration; formation of structure; ultrasonic measurements; setting; compressive strength; adiabatic hydration curves; artificial neural networks,2009,Slovenski jezik,FGG - Fakulteta za gradbeništvo in geodezijo,26,152,4389,889
Nelinearna analiza vpliva požara na sovprežne linijske konstrukcije,"Hozjan, Tomaž","Srpčič, Stane","Planinc, Igor",gradbeništvo; disertacije; točna kinematika; Reissnerjev nosilec; požarna analiza; sovprežni nosilci; exact kinematics; Reissner's beam; fire analysis; composite beam,2009,Slovenski jezik,FGG - Fakulteta za gradbeništvo in geodezijo,22,117,5179,1114
Analiza nosilnosti prostorskih okvirnih konstrukcij z upoštevanjem materialnih in geometrijskih nepopolnosti,"Rodman, Urban","Zupan, Dejan","Planinc, Igor",Reissnerjev nosilec; uklon; postkritično obnašanje; delaminacije; kontakt; nelinearen material,2009,Slovenski jezik,FGG - Fakulteta za gradbeništvo in geodezijo,21,121,4608,920
Tehnologije semantične mreže pri računalniško integrirani graditvi,"Stankovski, Vlado","Turk, Žiga",,gradbeništvo; disertacije; semantika; ontologija; mreža; medobratovalnost; doctoral thesis; civil engineering; semantic; grid; construction; interoperability,2009,Slovenski jezik,FGG - Fakulteta za gradbeništvo in geodezijo,21,217,4028,1146
